Designator,Mid X,Mid Y,Layer,Rotation
BATTERY,34.65,-13.54,Top,180.0
C1,65.52,10.63,Top,0.0
C2,62.50,10.63,Top,180.0
C3,21.67,-6.83,Top,270.0
C4,38.48,-2.29,Top,270.0
C6,42.16, 7.42,Top,0.0
C7,33.59, 4.59,Top,0.0
C8,20.65,-6.83,Top,270.0
C9,17.34,-6.39,Top,270.0
C10,15.89,-6.39,Top,270.0
C11,14.92,-6.39,Top,270.0
C12,13.93,-6.39,Top,270.0
C13,12.94,-6.39,Top,270.0
C14,11.95,-6.39,Top,270.0
C15,10.96,-6.39,Top,270.0
C16, 9.97,-6.39,Top,270.0
C17,33.71, 9.27,Top,90.0
C18,18.16, 4.06,Top,90.0
C20,20.54,-0.91,Top,270.0
C21,20.19, 4.06,Top,270.0
C22,31.39,-4.32,Top,180.0
C23,41.91, 2.92,Top,0.0
C24,37.34, 3.56,Top,180.0
C26,10.79, 4.19,Top,0.0
C27,10.29, 2.67,Top,0.0
C28, 6.60, 6.48,Top,180.0
CHARGING, 0.89,-7.37,Top,0.0
D3,33.86, 2.77,Top,180.0
D4,23.91,-1.84,Top,180.0
D5,23.91,-3.70,Top,0.0
D6,23.91, 0.01,Top,180.0
D8, 4.45, 7.37,Top,270.0
D9, 2.16, 7.37,Top,270.0
D10, 8.03, 2.87,Top,270.0
DISP,14.86, 1.27,Top,0.0
IC1,30.61, 9.27,Top,180.0
IC2,31.04,-0.86,Top,90.0
IC3,10.26, 7.57,Top,0.0
IC4,41.40,-0.13,Top,90.0
IC5,60.45, 0.00,Top,270.0
J2,16.76,10.41,Top,0.0
J3,44.40,-9.14,Top,90.0
J4, 6.63, 0.00,Top,270.0
J5,17.60,-11.02,Top,0.0
L1,23.50, 3.43,Top,90.0
Q1,28.18, 4.35,Top,90.0
Q2, 9.53, 0.00,Top,90.0
Q3, 9.53,-3.05,Top,270.0
Q4,25.34,-6.79,Top,90.0
Q5,35.31,-2.26,Top,90.0
R1,27.81, 6.12,Top,0.0
R2,42.16, 5.97,Top,0.0
R3,28.21, 2.57,Top,180.0
R4,17.07,-3.73,Top,90.0
R5,27.71,-1.63,Top,270.0
R6,35.31, 8.76,Top,270.0
R7, 8.64,-6.39,Top,90.0
R8,14.92,-4.34,Top,270.0
R9,19.16,-3.73,Top,270.0
R10, 9.27,-9.27,Top,270.0
R11,27.71, 0.43,Top,90.0
R12,18.12,-3.73,Top,90.0
R13, 7.62,-6.39,Top,90.0
R14,37.80, 8.36,Top,90.0
R15, 2.03,-6.99,Top,90.0
R16, 3.05,-6.99,Top,90.0
R17,33.81, 0.61,Top,90.0
R18,38.51,-4.32,Top,0.0
R19,36.75, 8.36,Top,90.0
RESET, 9.40,13.31,Top,0.0
U2,37.59, 5.59,Top,0.0
